time,human_x,human_y,robot_x,robot_y
0,1.5,1.5,1.5,0.5
2,1.5,2.5,1.5,1
4,2.5,3.5,2,2.5
6,3.25,4.5,2,2.5
8,3.75,4.5,2,3
10,4.5,4.75,2.75,3.75
12,5.5,4.75,3.5,4
14,5.5,4.75,4,4
16,6.75,5,5.5,4.5
18,8,4.75,6,4
20,9.25,5,6.5,4.5
22,10.25,5.5,7,4.5
24,10.5,6,7.5,4.5
26,10.5,6,7.5,4.5
28,10.75,7,7.5,4.5
30,10.75,7,8,4.5
32,11.25,7.25,8,4.5
34,11.25,7.25,8,4.5
36,10.5,8.75,9,5
38,10.75,10,9.75,5.75
40,10.75,11,10,6.5
42,10.5,11.5,10.25,7.75
44,10.5,11.75,10.5,8
46,10.5,12.5,10.5,8
48,10.5,12.75,11,9
50,10.5,13.5,11,9.5
52,10.5,14.25,11,10.25
54,10.5,15,11,11
56,10.5,15,11.25,12
58,10.5,15,11.25,12.25
60,10.5,15,11,13.5
